Player Name,Team,Position,Games Played,Total Points
Christopher Pugh,Bears,K,9,62
John Romero,Dolphins,QB,7,186.03
Steven Hicks,Saints,WR,1,27.89
Jacob Weaver,Titans,TE,13,148.04
Juan Rogers,49ers,TE,1,7.94
Brian Martinez,Packers,DEF,8,91.03
Terrance Wu,Titans,WR,16,261.27
Anthony Richardson,Buccaneers,WR,5,83.16
Ryan Pittman,Jaguars,K,1,14.34
Randall Lopez,Chargers,QB,3,72.69
John Mercado,Chiefs,DEF,16,116.65
Steven Wright,Steelers,DEF,8,83.16
Steven Martinez,Bills,RB,7,143.83
Wayne Parker,Bills,TE,4,52.33
Ronald Mills,Lions,WR,10,201.24
Robert Williams,Panthers,K,10,92.12
Sean Blair,Raiders,WR,4,66.14
Donald Thomas,Bears,TE,14,168.44
Donald Simmons,Dolphins,DEF,12,138.86
Michael Maxwell,Bears,WR,15,257.47
Zachary Smith,Bills,RB,16,359.09
Anthony Rush,Lions,DEF,4,35.86
Christopher Holden,Broncos,DEF,7,67.85
Ryan Chan,Bills,RB,16,278.98
Eric Roberts,Lions,RB,12,225.83
Scott Reed,Packers,DEF,11,103.27
Terry Hudson,Jets,QB,8,234.19
Russell Crawford,Buccaneers,DEF,10,121.17
James Carroll,Packers,DEF,15,159.21
Jeffrey Dougherty,Packers,RB,8,175.24
Michael Keller,Saints,K,13,101.79
Michael Turner,Packers,K,7,49.87
Mark Ferguson,Bengals,DEF,3,26.68
Matthew Scott,Lions,K,16,76.39
Kenneth Martin,Packers,DEF,9,107.98
Jeff Cox,Giants,RB,1,29.34
Joseph Raymond,Buccaneers,TE,4,46.24
Michael Kramer,Buccaneers,RB,12,232.7
Kevin Fuller,Rams,WR,12,146.24
Douglas Moreno,Bengals,DEF,2,20.6
Norman Ramos,Bills,DEF,12,110.56
Zachary Arroyo,Vikings,QB,2,64.46
Randy Cabrera,Bears,QB,14,397.06
Michael Schmidt,Dolphins,K,14,111.18
Matthew Campbell,Panthers,WR,14,281.16
Donald Jackson,Vikings,WR,8,106.2
Matthew Brown,Titans,WR,11,185.64
Sean Jones,Patriots,QB,8,219.21
George Tanner,Browns,RB,11,200.9
Spencer Thomas,Seahawks,TE,4,45.41
Jason George,49ers,QB,1,33.75
Gary Hampton,Bengals,DEF,14,130.08
Daniel Wells,Cowboys,WR,4,85.54
Stephen Dixon,Dolphins,DEF,3,33.82
Henry Ford,Bengals,TE,11,98.82
Kevin Bowen,Jets,DEF,13,123.36
Aaron Glenn,Raiders,WR,13,182.87
David Dunn,Broncos,RB,7,144.26
Joshua Garcia,Titans,QB,10,256.27
Michael Mullins,Rams,RB,7,138.86
Ian Schroeder,Browns,WR,5,81.05
David Kelly,Eagles,DEF,6,54.97
Timothy Norris,Redskins,TE,2,18.67
Craig Cochran,Broncos,DEF,10,104.06
Alan Mcdonald,Seahawks,WR,6,106.12
Jordan Fields,Ravens,K,1,1.78
Joshua Farmer,Jets,QB,13,342.25
Matthew Jenkins,Buccaneers,DEF,3,41.17
Devin James,Jaguars,RB,16,337.96
Peter Brown,Seahawks,RB,8,145.25
Philip Riley,Vikings,TE,1,2.84
Isaiah Williams,Ravens,RB,11,236.27
Jeffrey Campbell,Browns,WR,5,87.88
Jonathan Smith,Texans,QB,7,179.65
Robert Hunter,Lions,RB,14,248.65
Nicholas Garza,Bears,DEF,10,99.86
Gary Ingram,Broncos,RB,1,16.97
Billy Copeland,Lions,RB,14,289.13
Timothy Chaney,Raiders,TE,13,89.27
Richard Wilson,Patriots,TE,14,149.59
James Armstrong,Chargers,TE,5,54.3
Nathan Tran,Titans,WR,16,330.72
Nathaniel Smith,Buccaneers,QB,8,217.15
Brandon Cooper,Buccaneers,RB,6,121.45
Jeffery Levine,Broncos,TE,14,143.83
Mason Walsh,Chiefs,TE,13,141.07
Cory Clay,Bears,QB,10,285.95
Daniel Harris,Lions,K,12,110.78
Anthony Parker,Lions,WR,13,214.93
James Weeks,Dolphins,RB,15,336.01
Timothy Willis,Bears,K,7,72.82
David Fletcher,Bears,QB,12,316.87
Austin Scott,Dolphins,K,5,43.76
Peter Thompson,Rams,QB,3,87.81
Jason Howard,Vikings,RB,15,314.57
Kevin King,Seahawks,K,10,91.63
Raymond King,Redskins,TE,8,76.07
Raymond Pacheco,Browns,TE,7,80.3
Brent Pearson,Dolphins,DEF,1,1.04
Jorge Hunter,Steelers,K,4,36.4
Jeremiah Benton,Falcons,RB,8,143.33
Joshua Newman,Chiefs,RB,6,108.45
Richard Cortez,Rams,TE,13,114.54
Benjamin Patel,Panthers,DEF,14,174.6
Carl Gonzales,Browns,DEF,15,122.31
Matthew Bruce,Giants,TE,16,143.2
Daniel Morris,Raiders,DEF,11,65.97
Benjamin Dunn,Titans,QB,12,293.22
Michael Schroeder,Dolphins,K,1,0.15
Brian Turner,Falcons,DEF,8,88.72
Joshua Simmons,Dolphins,RB,11,232.6
Peter Morgan,Steelers,DEF,4,55.72
Jose Williams,Texans,QB,13,384.96
Sean Williams,Patriots,DEF,8,75.64
Jason Williams,Lions,K,6,48.53
Cesar Shaw,Texans,DEF,11,132.52
George Green,Falcons,K,4,31.5
Justin Sanders,Giants,K,7,45.98
Richard Rangel,Jaguars,QB,13,322.55
Evan Castro,Cardinals,K,6,49.87
Edward Chavez,Vikings,RB,13,298.02
Jeffery Rivera,Jaguars,RB,11,227.85
Kevin Cook,Bengals,QB,8,205.14
Jacob Barnes,Falcons,WR,16,242.77
Wayne Johnson,Bears,WR,1,22.46
Justin Kemp,Colts,WR,8,163.39
Marcus May,Colts,TE,7,95.73
Thomas Brooks,Titans,TE,5,47.36
Robert Velasquez,Patriots,RB,14,237.1
William Norton,Bengals,QB,13,308.06
Ronald Davis,Bears,WR,14,251.27
Michael Coffey,Steelers,TE,9,102.25
William Murphy,Chiefs,K,8,57.04
Alejandro Tate,Ravens,TE,9,111.26
Antonio Wagner,Texans,K,15,86.19
Thomas Singh,Broncos,TE,1,1.99
Bradley Cordova,Seahawks,QB,16,402.23
Reginald Mcgee,Cowboys,QB,5,129.76
Brandon Valenzuela,Raiders,TE,10,86.63
Lawrence Smith,Panthers,WR,2,24.31
William Warren,Buccaneers,QB,8,228.67
Michael Allen,Packers,QB,2,52.7
Ricky Reed,Falcons,K,14,80.66
Kenneth Henry,Browns,QB,7,185.32
Danny Wolf,Buccaneers,WR,4,60
Gabriel Edwards,Jets,K,8,72.62
William Alexander,Cowboys,QB,11,329.67
Nicholas Knight,Ravens,DEF,6,87.47
Brian Jackson,Patriots,TE,4,45.62
Clifford Bailey,Patriots,QB,4,109.22
John King,Buccaneers,K,15,111.42
Brian Torres,Raiders,WR,4,61.25
Juan Cunningham,Buccaneers,RB,4,72.09
George Vargas,Falcons,DEF,14,169.26
Stephen Davis,Lions,WR,10,182.77
Nicholas Glenn,Panthers,WR,6,114.33
Edwin Heath,Broncos,RB,15,301.66
Michael Blankenship,Packers,WR,8,118.15
Joseph Ross,Browns,DEF,10,107
Preston Turner,Redskins,K,16,128.36
Robert Ochoa,Packers,K,10,81.31
William Rhodes,Cowboys,TE,16,121.14
Edward Oliver,Cardinals,QB,8,219.03
Matthew Williams,Falcons,DEF,14,151.25
James Hart,Colts,K,16,121.06
John Johnson,Steelers,TE,12,102.82
Andrew Acosta,Chiefs,RB,13,228.54
Paul Thomas,Packers,WR,2,32.96
David Fischer,Broncos,K,7,56.66
Samuel Bright,Broncos,QB,6,177.4
Patrick Baldwin,Cowboys,DEF,8,89.21
Jose Jones,Browns,TE,10,76.89
Jonathan Gutierrez,Ravens,DEF,4,56.13
Richard Williams,Giants,DEF,1,5.13
Paul Watkins,Falcons,K,11,79.82
Parker Morrison,Saints,DEF,4,58.13
Nathan Brewer,Raiders,DEF,1,18.76
Jesse Kelley,Bengals,WR,11,172.7
Joel Rogers,Chargers,K,3,18.17
Michael Montgomery,Broncos,K,10,92.82
Colin Gutierrez,Bears,K,9,53.76
Stephen Drake,Jets,QB,12,278.14
Paul Stone,Redskins,WR,16,264.26
Sean Miller,Redskins,WR,7,122.22
Michael Davis,Vikings,DEF,3,10.79
Dan Johnson,Packers,WR,3,46.64
Mitchell Jackson,Buccaneers,RB,9,199.92
Jonathan Brooks,Dolphins,WR,13,272.3
Richard Goodwin,Lions,TE,9,91.21
David Brown,Colts,QB,6,175.2
Matthew Barnes,Saints,TE,5,65.62
Steven Dunn,Buccaneers,RB,1,10.3
Michael Frank,Redskins,WR,16,291.74
Howard Thompson,Steelers,RB,15,281.43
Devin Reid,Texans,TE,11,74.21
David Webster,Raiders,K,7,49.28
Wesley Baxter,Redskins,TE,2,9.5
Samuel Gordon,Broncos,DEF,8,66.54
Corey May,Packers,TE,10,110.09
Michael Lindsey,Vikings,RB,8,189.16
Martin Huff,Panthers,QB,14,393.92
Timothy Soto,Seahawks,DEF,13,93.54
Andrew Hernandez,Saints,K,7,44.24
Jason Butler,Raiders,WR,13,216.98
Bradley Sanchez,Steelers,DEF,12,119.76
John Lee,49ers,WR,1,20.17
Devin Ortega,Falcons,TE,6,50.96
William Chapman,Steelers,WR,16,298.33
Jeffery Randall,Bengals,RB,13,238.97
Christopher Roach,Packers,K,3,15.44
Joseph Morales,Chargers,TE,4,34.29
Michael Miller,Giants,WR,4,58.93
Eric Cooper,Bills,DEF,8,95.02
Frank Dorsey,Dolphins,K,11,92.84
Carlos Peck,Bears,QB,15,382.84
Christopher Hogan,Texans,RB,7,147.05
Daniel Hernandez,Falcons,DEF,2,9.39
Michael Sims,Bears,WR,8,115.94
Zachary Gallegos,Giants,QB,7,191.77
Jacob Curry,Colts,WR,1,27.02
Jonathan Wilson,Raiders,QB,6,157.28
Joshua Bird,Browns,K,12,88.78
Anthony Winters,Packers,QB,10,305.06
Gregory Bennett,Bills,DEF,13,121.01
Tracy Williams,Lions,TE,8,95.43
Jerome Howard,Raiders,TE,15,169.29
Brian Jackson,Patriots,DEF,8,86.92
Shawn Massey,Eagles,RB,1,25.24
George Caldwell,Bears,WR,12,202.93
Timothy Rodriguez,Bengals,WR,2,25.6
Raymond Shelton,49ers,WR,3,20.77
Joe Wood,Seahawks,WR,5,59.22
Joshua Brooks,Eagles,TE,1,12.79
Adam Hayes,Ravens,RB,5,120.81
Randy King,Jaguars,WR,14,259.6
Jason Hill,Colts,RB,1,25.42
Aaron Morrison,Broncos,DEF,9,71.92
Christopher Higgins,Bengals,K,12,74.39
Keith Davies,Cardinals,RB,3,46.35
Donald Smith,Chargers,TE,9,111.65
Robert Gill,Steelers,DEF,11,102.14
Nicholas Buckley,Bills,K,9,92.02
Lee Scott,Panthers,K,10,75.31
Jeremy Donaldson,Raiders,DEF,16,169.14
Ryan Lopez,Dolphins,TE,6,45.93
Andrew Pierce,Dolphins,TE,13,140.48
Jesse Carr,Bills,TE,3,23.14
Michael Wright,Giants,RB,15,315.34
Michael Long,Patriots,TE,3,20.43
Marc Barton,Jaguars,WR,8,144.73
Alfred Schmidt,Saints,RB,16,329.49
Jose Arnold,Buccaneers,TE,15,164.45
Donald Collins,Jets,K,6,31.2
Jason Price,Falcons,RB,11,228.37
Jeffrey Lopez,Saints,TE,4,56.76
Steven Savage,Patriots,K,15,167.92
Tyler Jones,Vikings,DEF,4,62.29
David Greene,Dolphins,WR,3,52.51
Aaron Vance,Redskins,TE,6,67.55
Roberto Jones,Texans,TE,3,35.71
Curtis Chavez,Bears,RB,11,219.54
Joseph Benson,49ers,QB,10,277.5
John Weeks,Saints,WR,2,28.62
Robert Wright,Chiefs,QB,14,425.53
Louis Johnson,Saints,K,5,27.77
Michael Martinez,Broncos,WR,3,76.81
Victor Hall,Vikings,QB,14,342.12
Matthew Aguirre,Browns,RB,2,30.66
Jesus Turner,Rams,WR,12,237.71
Roy Duran,Cowboys,DEF,2,18.93
Joseph Friedman,Saints,TE,4,52.13
Zachary Hancock,Jets,K,10,79.75
David Ford,Bengals,WR,1,23.62
Bradley Juarez,Texans,RB,6,120.13
Thomas Williamson,Packers,K,10,65.11
James Allison,Cardinals,QB,1,25.43
Austin Mckay,Dolphins,RB,7,146.58
Daniel Whitney,Broncos,DEF,6,65.43
Brian Horton,Falcons,QB,6,179.6
Mark Garza,Raiders,WR,11,207.7
Michael Russell,Eagles,RB,14,318.58
Anthony Berg,Titans,WR,14,257.41
Kyle Parker,Ravens,RB,8,156.37
John Simmons,Chargers,RB,3,64.39
Gavin Wilson,Seahawks,K,15,106.11
Richard Serrano,Raiders,TE,6,59.89
Christopher Keller,Titans,DEF,2,14.24
Anthony Mahoney,Giants,RB,12,217
Robert Herrera,Chiefs,DEF,11,131.6
Kevin Vasquez,Redskins,QB,13,363.12
Antonio Rogers,Giants,RB,3,68.02
Joshua Morgan,Redskins,TE,6,50.07
Jeremy Lee,Falcons,RB,8,154.86
Scott Bass,Falcons,WR,14,262.01
William Jones,Patriots,QB,5,131.58
Eric Phillips,Colts,K,7,60.99
Michael Mcgee,Jaguars,K,2,14.06
Reginald Charles,Texans,TE,13,110.96
Brian Blair,Patriots,RB,14,282.47
Raymond Robinson,Bengals,RB,11,206.82
Ian Jones,Lions,TE,11,91.71
Johnny French,Chargers,QB,11,293.52
Peter Velasquez,Patriots,QB,4,84.46
Scott Evans,Jaguars,RB,15,314.27
Timothy Stone,Titans,RB,5,82.07
Jeffrey Miles,Steelers,TE,16,150.56
Lee Smith,Lions,WR,6,114.83
Philip Woodard,Colts,WR,5,86.04
Cameron Turner,Titans,DEF,2,30.2
Michael Harvey,Patriots,QB,5,126.07
Keith Swanson,Cowboys,WR,14,250.32
Tim Foster,Giants,DEF,3,31.12
Joshua Ruiz,Chargers,K,16,134.77
Austin Morse,Eagles,DEF,3,21.16
Robert Thompson,Chiefs,K,3,17.72
Kevin Parker,Broncos,WR,12,198.9
Justin White,Chiefs,RB,11,193.28
Kenneth Brown,Steelers,WR,1,21.42
Benjamin Sullivan,Bengals,RB,9,166.43
William Hoffman,Cardinals,TE,4,66.38
David Murray,Colts,WR,3,64.19
Larry Marshall,Patriots,RB,14,260
John Williams,Cowboys,DEF,7,50.43
Gary Smith,Saints,DEF,13,127.68
Tommy Campbell,Titans,WR,4,83.34
Stephen Garcia,Rams,RB,9,203.21
Christopher Yates,Cardinals,WR,2,23.57
Keith Moss,Bills,QB,10,261.99
Maurice Jones,Rams,K,7,52.01
George Foster,Saints,DEF,9,111.72
Robert Cunningham,Chargers,TE,2,31.83
Edgar Cobb,Jets,WR,10,152.73
Albert Benson,Lions,WR,11,201.15
Joshua Walker,Eagles,DEF,11,98.8
Keith Arias,Chiefs,WR,4,80.22
Michael Barker,Saints,TE,9,83.62
Tyler Gray,Giants,DEF,9,88.39
Aaron Taylor,Steelers,RB,14,302.04
Ryan Reid,Buccaneers,WR,1,12.86
Robert Montgomery,Bills,WR,4,42.17
Daniel Stevens,Cardinals,TE,14,147.82
Victor Snyder,Eagles,RB,9,203.8
Jason Chambers,Ravens,WR,6,105.35
Daniel Paul,Jaguars,WR,12,235.21
Francisco Nichols,Jets,K,1,6.01
John Bowers,Cardinals,WR,4,52.63
Brian Young,Bears,K,13,82.61
Michael Wiggins,49ers,TE,8,84.24
Edward Marks,Raiders,DEF,2,23.7
Matthew Frost,49ers,K,1,7.76
Cameron Burns,Vikings,WR,1,5.47
James Valenzuela,Broncos,WR,15,306.68
Jeremy Smith,Cowboys,WR,10,170.93
Michael Barton,Raiders,WR,7,109.39
Daniel Walker,Broncos,QB,10,233.31
George Rice,Rams,TE,3,29.79
Kevin Underwood,Vikings,DEF,3,21.73
Kyle Ramirez,Chiefs,K,9,53.8
Adam Hill,Chiefs,K,16,95.86
David Byrd,Dolphins,TE,13,119.99
Daniel Jordan,Steelers,QB,3,61.44
James Vaughan,Raiders,K,5,24.4
Jeffery Hernandez,Lions,K,13,136.77
Rodney Clark,Browns,QB,3,88.59
Nathan Wilson,Bills,RB,8,155.05
Jonathan Benson,Patriots,DEF,5,38.52
David Stein,Jets,TE,11,112.62
Terry Gordon,Redskins,RB,13,251.38
Jose Cisneros,Browns,TE,9,84.38
Charles Willis,Redskins,WR,14,244.36
Thomas Sampson,Browns,RB,6,112.25
Ronald Avila,Bears,WR,2,25.66
Mark Abbott,Bills,QB,6,168.79
Johnny Ryan,Redskins,K,16,118.55
Francisco Pittman,Bears,DEF,10,95.44
Michael Davis,Seahawks,K,1,12.5
Joshua Campbell,Jets,RB,9,141.09
Ian Watson,Giants,DEF,7,65.22
Melvin Nolan,Bengals,DEF,8,69.19
Steven Morton,Patriots,RB,6,114.37
Taylor Carter,Bears,WR,14,261.61
Timothy Brown,Chiefs,TE,12,128.1
Mike Cole,Raiders,WR,16,251.26
Charles Meyer,49ers,K,7,47.6
Ryan Fry,Buccaneers,TE,6,69.21
Steven Mejia,Browns,TE,14,134.04
Peter Bennett,Bears,WR,5,110.27
Alan Olson,49ers,RB,6,101.88
Eric Davies,Falcons,TE,5,49.23
Brandon Bowman,Falcons,DEF,3,30.24
Kevin Russell,Raiders,TE,13,117.75
Eric Brown,49ers,K,2,29.57
David Rojas,Panthers,TE,9,97.12
Scott Finley,Bengals,K,8,51.31
Darryl Hernandez,Raiders,RB,3,62.31
John Garcia,Panthers,QB,6,182.87
Christian Anthony,Patriots,DEF,14,125.83
Cory Mckinney,Buccaneers,TE,10,93.49
Richard Arroyo,Dolphins,WR,4,94.02
Antonio Johnson,Steelers,TE,14,189.02
Bill Flores,Dolphins,K,9,61.88
Richard Martinez,Vikings,TE,5,56.51
Thomas Gibson,Titans,K,15,129.82
Thomas Mcdaniel,Ravens,DEF,7,93.05
Andrew Sanders,Lions,WR,15,242.2
Robert Griffin,Rams,RB,15,296.17
Mark Carter,Colts,TE,13,93.42
Thomas Henry,Rams,K,10,71.09
Dalton Lewis,Saints,K,16,133.81
Brian Kline,Cowboys,WR,9,128.74
Christopher Rose,Packers,RB,6,120.9
Patrick Rivera,Seahawks,K,14,118.46
Blake Aguilar,Patriots,TE,6,28.6
Terry Choi,Jets,DEF,9,65.36
Gregory Scott,Chargers,WR,13,202.65
Steven Dominguez,Chargers,RB,3,49.53
Zachary Brooks,Eagles,WR,14,250.68
Joe Ramos,Giants,K,7,27.11
Marc Dunlap,Browns,RB,15,314.71
Robert Michael,Falcons,K,16,124.41
Raymond Arnold,Saints,QB,3,108.2
Steve Miller,Ravens,TE,2,18.36
Jason Cook,Broncos,DEF,14,117.09
Christian Morrison,Eagles,WR,1,9.75
Joshua Stephens,Bears,K,14,104.12
Robert Hamilton,Browns,TE,1,17.08
Anthony Brown,Cardinals,K,10,63.62
Christopher Esparza,Texans,WR,16,270.04
Cody Gonzales,Cowboys,TE,16,142.15
Brian Calderon,Browns,QB,7,179.34
Austin Bryant,Lions,DEF,10,118.82
Curtis Garcia,Colts,DEF,10,107.62
Bryan Wilson,Eagles,RB,11,188.29
Samuel Ray,49ers,WR,2,54.25
Stephen Roberts,Broncos,QB,16,410.2
Ian Baldwin,Ravens,RB,13,265
Michael Walton,Lions,K,11,88.27
Anthony Bentley,Broncos,DEF,7,74.43
Michael Wolfe,Buccaneers,TE,12,100.03
Alexander Crawford,Packers,K,16,149.82
Noah Caldwell,Cardinals,RB,2,39.07
Andrew Porter,Redskins,RB,6,103.97
Carl Wilson,Buccaneers,RB,16,333.55
Christopher Mitchell,Chiefs,WR,3,37.83
Anthony Jensen,Colts,QB,14,371.53
Michael Lane,Saints,QB,12,313.04
James Montgomery,Saints,TE,7,81.33
Derek Horton,Jaguars,DEF,14,157.05
Joshua Flores,Dolphins,K,11,57.79
Anthony Hernandez,Vikings,TE,10,96.88
Albert Martinez,Redskins,WR,1,11.92
Ethan Garcia,Titans,WR,6,121.57
Scott Rose,Jets,RB,8,174.78
Thomas Yang,Patriots,WR,2,34.15
Christopher Castillo,Falcons,QB,10,238.45
Corey Smith,Colts,RB,14,297.92
Michael Vazquez,Titans,RB,9,175.37
John Jones,Jaguars,QB,3,94.16
William Rodgers,Dolphins,RB,6,136.01
Christopher Marshall,Cardinals,DEF,5,41.99
David Harris,Bills,WR,13,241.88
Jeffrey Yates,Vikings,RB,2,25.09
Charles Zuniga,Raiders,RB,12,213.28
David Munoz,Seahawks,RB,1,26.83
Peter Rodriguez,49ers,WR,14,267.36
Justin Fields,Jaguars,RB,3,67.88
Steven Tucker,Broncos,DEF,7,68.6
Terrance Ramirez,Giants,WR,2,40.56
Ralph Reynolds,Vikings,DEF,4,39.78
Todd Gray,Bills,QB,4,96.06
Mark Stewart,Bills,RB,12,217.23
Joseph Rice,Panthers,RB,1,24.99
Joshua Williams,Ravens,RB,6,121.77
David Mcmillan,Vikings,TE,15,142.98
Samuel Lynn,Cowboys,K,13,77
Paul Hayes,Titans,QB,5,140.46
Daniel Kim,Bears,QB,6,139.64
Gary Rogers,Browns,TE,16,148.3
Brian Lee,Eagles,RB,4,97.51
Ricky Rodriguez,Bengals,DEF,12,146.28
Jaime Bell,Bengals,QB,1,25.48
Andrew Armstrong,Ravens,K,8,57.6
Benjamin Ayers,Eagles,DEF,12,132.46
Bobby Pierce,Broncos,TE,5,66.13
Nicholas Wilson,Chargers,RB,9,167.44
Andrew Brooks,Texans,DEF,9,110.28
Sean Perry,Browns,K,14,85.58
Scott Delgado,49ers,TE,12,115.21
Reginald Haney,Bills,RB,10,187.64
Peter Kennedy,Ravens,K,11,103.15
Christian Thomas,Chargers,DEF,5,36.08
James Hickman,Vikings,DEF,12,98.94
Kyle Yang,Texans,DEF,4,26.07
Robert Cisneros,Raiders,RB,3,70.53
Vincent Rodriguez,49ers,TE,15,137.24
Gerald Washington,Patriots,DEF,6,49.43
Ian Barrett,Chargers,WR,14,239.61
Christopher Smith,Browns,RB,10,211.99
Noah Barker,Broncos,WR,14,254.6
Austin Bass,Jets,RB,7,143.19
Mark Berry,Jets,WR,12,235.18
Joshua Moore,Broncos,TE,5,69.08
Johnny Simmons,Panthers,DEF,15,134.14
Ricardo Alvarez,Cardinals,TE,4,28.9
Lance Smith,Steelers,DEF,3,28.21
Dale Elliott,Seahawks,DEF,7,68
Keith Bush,Packers,WR,2,27.08
Joshua Hardy,Bengals,TE,9,76.08
Sean Martin,Cowboys,K,1,2.63
Casey Johnson,Falcons,QB,5,139.78
Troy Watts,Giants,QB,13,362.71
Dustin Baker,Buccaneers,K,1,12.06
Jeremiah Hughes,Rams,WR,11,197.62
Jeremy Brady,Giants,TE,13,117.98
Christopher Nicholson,Rams,TE,11,130.6
Charles Young,Cardinals,RB,5,119.24
Mark Hardy,Bengals,TE,8,75.67
Dillon Sullivan,Colts,K,5,26.75
Edwin Thompson,Jaguars,TE,12,111.93
Allen Lynn,Browns,TE,9,136.53
David Jones,Chiefs,TE,3,17.67
Levi Morales,Titans,K,11,67.78
Brian Morton,Vikings,DEF,3,34.77
Gavin Morrow,Bengals,WR,2,35.24
David Hall,Cowboys,QB,12,332.54
Daniel West,Redskins,K,14,134.36
Gregory Jones,Vikings,K,13,77.9
Jacob Mccarty,Titans,TE,11,88.42
Gary Christensen,Raiders,QB,6,187.96
Jason Roberts,Cowboys,WR,13,180.86
Bradley Fernandez,Patriots,K,2,16.84
Dean Robles,Raiders,TE,5,39.5
Shane Anderson,Patriots,K,6,51.59
Charles Lee,Dolphins,QB,4,113.33
Austin Sherman,Vikings,TE,6,57.78
Lee Sweeney,Cowboys,K,16,126.29
Michael Weiss,Cowboys,TE,14,138.73
William Brown,Chiefs,WR,16,287.29
Michael Reed,49ers,WR,15,281.28
Chad Baker,Falcons,DEF,3,26.97
Aaron Brown,Panthers,K,10,89.74
Austin White,Cowboys,WR,10,177.97
Christopher Thomas,Ravens,QB,6,170.31
Taylor Burton,Vikings,RB,2,56
Gavin Sims,Raiders,DEF,13,139.19
Angel Lopez,Eagles,DEF,15,175.98
Adrian Martinez,Bears,K,12,82.95
Collin Nelson,Panthers,RB,6,139.12
Andrew Robertson,Buccaneers,WR,4,52.65
Robert Davis,Cardinals,QB,8,206.41
Jacob Meyers,Bills,TE,1,11.03
Johnny Young,Colts,DEF,3,35.93
Daniel Manning,Vikings,DEF,16,141.41
Dennis Ramirez,Falcons,DEF,2,24.45
Calvin Pitts,Chargers,TE,7,51.16
David Francis,Cardinals,DEF,9,79.4
Matthew Melton,Raiders,QB,14,388.71
Justin Taylor,Colts,QB,10,238.4
Jonathan Glover,Bengals,WR,15,256.53
Jason Kelly,Vikings,TE,16,161.29
Jared Cole,Bengals,WR,2,27.25
Roy Mosley,Browns,RB,8,162.77
Alex Young,Bears,RB,9,158.69
James Marsh,Broncos,WR,16,327.93
William Lozano,Bills,K,4,25.66
Jason Shelton,Eagles,TE,16,158.13
Richard Holt,Redskins,K,8,72.41
Jason Riddle,Jets,TE,9,90.35
Dustin Bullock,Redskins,TE,14,144.35
Michael Cole,Buccaneers,QB,5,123.24
Colin Scott,Texans,DEF,4,18.63
Bryan Gray,Bengals,QB,9,263.07
Zachary Soto,Chargers,TE,2,29.12
Michael Howard,Rams,WR,12,212.29
Joseph Johnson,Colts,DEF,2,25.39
Jose Miller,Steelers,QB,9,256.37
Gary Wilson,Steelers,DEF,14,140.23
Casey Williams,Jaguars,K,1,1.85
Logan Mann,Falcons,WR,14,286.68
Charles Robinson,Cowboys,QB,12,298.38
Robert Freeman,Patriots,QB,16,400.29
Marcus Collins,Jaguars,RB,3,65.98
Robert Lopez,Falcons,TE,4,42.9
Ryan Harvey,Panthers,QB,6,135.66
Raymond Maldonado,Patriots,QB,13,333.7
Eric Duncan,Eagles,QB,8,254.01
Brandon Blackburn,Chiefs,RB,9,216.57
Ian Richardson,Bengals,QB,10,275.33
Travis Jones,Ravens,K,12,107.75
Jason Fernandez,Falcons,WR,11,183.8
Robert Garrett,Panthers,QB,1,17.56
Richard Rogers,Saints,TE,9,96.13
Robert Hoffman,Giants,QB,2,51.19
James Thompson,Dolphins,K,13,108.6
Paul Torres,Cowboys,K,7,60.12
Stephen Liu,Chargers,QB,14,372.65
Willie Lewis,Jaguars,DEF,10,125.5
Philip Herring,Cardinals,K,12,91.95
Manuel Cummings,Bills,DEF,13,152.54
Harold Brooks,Broncos,DEF,1,15.78
Charles Johnson,Bills,TE,4,39.91
Christopher Baker,Dolphins,WR,2,41.55
Larry Johnson,Broncos,QB,12,332.32
Robert Gardner,49ers,DEF,11,115.75
Charles Madden,Titans,RB,2,35.98
Andres Farley,Chargers,WR,9,112.38
Christopher Butler,Ravens,RB,14,289.7
Tyrone Berry,Cardinals,WR,13,231.32
Gilbert Cohen,Texans,TE,15,154.03
Michael Gibson,Texans,RB,15,308.95
Patrick Weeks,Patriots,RB,5,110.15
Douglas Cline,Seahawks,TE,4,34.31
Kyle Diaz,Dolphins,DEF,14,143.98
Nicolas Richards,Cardinals,WR,1,22.53
Joshua Dean,Rams,TE,1,0.96
Joseph Sanders,Ravens,TE,13,174.8
Joshua Perry,Redskins,TE,12,109.28
Joshua Mcneil,Saints,QB,16,440.25
Tyler Harrison,Browns,DEF,13,125.98
Scott Abbott,Chargers,RB,12,224.31
Robert Dorsey,Raiders,DEF,15,146.22
Christopher Booker,Browns,QB,11,301.33
Anthony Jones,Panthers,WR,9,178.53
Michael Kelly,Steelers,RB,8,150.73
Samuel Rodriguez,Chiefs,DEF,8,102.69
Alec Zamora,Steelers,DEF,2,9.26
Nicolas Garcia,Lions,DEF,16,147.42
Glenn Frost,Seahawks,DEF,4,27.16
Larry Jones,Chiefs,TE,5,48.43
Christopher Jordan,Patriots,QB,7,189.64
Edward Guerrero,Jaguars,RB,16,326.55
Henry Davis,Giants,WR,6,86.96
Andrew Underwood,Titans,RB,3,47.15
Kenneth Guzman,Titans,DEF,5,55.69
Brandon Murphy,Seahawks,DEF,7,45.56
Thomas Wang,Cowboys,DEF,5,55.91
Eric Torres,Saints,WR,2,23.92
Stephen Cox,Redskins,K,1,6.74
